Time,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
11335s,37.2 °C,,,,,,,,,,,,,,,,,0.5848,0.57683,0.57944,0.57037,,,,,,,,,0.47726,0.46561,0.47566,0.47882,,,,,,,,,0.40251,0.35897,0.37814,0.38402,,,,,,,,,0.23266,0.23592,0.23157,0.23953,,,,,,,,,0.17767,0.18851,0.18298,0.17378,,,,,,,,,0.23443,0.23034,0.23582,0.2329,,,,
11659s,37.3 °C,,,,,,,,,,,,,,,,,0.59709,0.57997,0.59926,0.57898,,,,,,,,,0.47938,0.4715,0.48074,0.48244,,,,,,,,,0.3933,0.36204,0.3781,0.38707,,,,,,,,,0.23141,0.23556,0.23476,0.2344,,,,,,,,,0.18079,0.18986,0.18469,0.1782,,,,,,,,,0.24722,0.24306,0.24734,0.24566,,,,
11982s,37.2 °C,,,,,,,,,,,,,,,,,0.59807,0.58302,0.60259,0.57548,,,,,,,,,0.49084,0.48688,0.48991,0.49041,,,,,,,,,0.40898,0.35488,0.3715,0.38307,,,,,,,,,0.23271,0.23036,0.23251,0.23322,,,,,,,,,0.18318,0.18671,0.184,0.18003,,,,,,,,,0.25914,0.25677,0.26173,0.2624,,,,
12306s,37.2 °C,,,,,,,,,,,,,,,,,0.60877,0.59948,0.61286,0.60186,,,,,,,,,0.50173,0.50241,0.51223,0.50199,,,,,,,,,0.41979,0.36996,0.38264,0.40182,,,,,,,,,0.24207,0.23999,0.25209,0.24888,,,,,,,,,0.1775,0.1858,0.18427,0.17871,,,,,,,,,0.27304,0.26878,0.27367,0.27826,,,,
12630s,37.2 °C,,,,,,,,,,,,,,,,,0.63386,0.59131,0.63467,0.61459,,,,,,,,,0.52729,0.51503,0.52517,0.50547,,,,,,,,,0.42873,0.39089,0.42011,0.41639,,,,,,,,,0.25406,0.2443,0.26932,0.24696,,,,,,,,,0.19037,0.18617,0.18357,0.18307,,,,,,,,,0.28786,0.28406,0.28727,0.29153,,,,
12954s,37.2 °C,,,,,,,,,,,,,,,,,0.6379,0.62106,0.64353,0.62447,,,,,,,,,0.52508,0.49997,0.52976,0.53398,,,,,,,,,0.43109,0.42004,0.40837,0.48626,,,,,,,,,0.25502,0.256,0.25844,0.26996,,,,,,,,,0.17823,0.18813,0.19114,0.18549,,,,,,,,,0.30067,0.29586,0.2975,0.3052,,,,
13277s,37.3 °C,,,,,,,,,,,,,,,,,0.63658,0.66143,0.66222,0.62426,,,,,,,,,0.5135,0.53362,0.54024,0.54547,,,,,,,,,0.49494,0.36402,0.4492,0.49208,,,,,,,,,0.29108,0.25802,0.27637,0.25366,,,,,,,,,0.18434,0.19569,0.21829,0.18804,,,,,,,,,0.3123,0.31034,0.3102,0.31924,,,,
13601s,37.2 °C,,,,,,,,,,,,,,,,,0.65052,0.61923,0.68599,0.63734,,,,,,,,,0.58327,0.55147,0.58076,0.53991,,,,,,,,,0.48608,0.42261,0.44254,0.45872,,,,,,,,,0.29918,0.27886,0.2734,0.27829,,,,,,,,,0.18804,0.20221,0.201,0.19731,,,,,,,,,0.32978,0.32368,0.32256,0.33357,,,,
13925s,37.3 °C,,,,,,,,,,,,,,,,,0.6636,0.62178,0.70689,0.65119,,,,,,,,,0.54882,0.58108,0.60492,0.54193,,,,,,,,,0.5418,0.4589,0.48688,0.52626,,,,,,,,,0.28086,0.29044,0.27872,0.27693,,,,,,,,,0.19791,0.19538,0.22014,0.2039,,,,,,,,,0.34141,0.3379,0.33719,0.35062,,,,
14249s,37.2 °C,,,,,,,,,,,,,,,,,0.66732,0.63467,0.65897,0.64623,,,,,,,,,0.59092,0.60953,0.60489,0.6018,,,,,,,,,0.51622,0.45434,0.44348,0.55142,,,,,,,,,0.26486,0.29217,0.29002,0.2791,,,,,,,,,0.21369,0.2126,0.21826,0.20513,,,,,,,,,0.35487,0.35061,0.34874,0.36422,,,,
14572s,37.3 °C,,,,,,,,,,,,,,,,,0.69527,0.72902,0.64921,0.6886,,,,,,,,,0.62713,0.60448,0.6329,0.5547,,,,,,,,,0.50273,0.44911,0.53133,0.50477,,,,,,,,,0.2848,0.29147,0.28608,0.27851,,,,,,,,,0.21899,0.21116,0.22227,0.19174,,,,,,,,,0.36942,0.36493,0.36217,0.37931,,,,
14896s,37.3 °C,,,,,,,,,,,,,,,,,0.69488,0.70743,0.74602,0.69176,,,,,,,,,0.57251,0.61008,0.54102,0.62199,,,,,,,,,0.55273,0.45932,0.43172,0.44232,,,,,,,,,0.24518,0.25716,0.30246,0.26384,,,,,,,,,0.2065,0.22197,0.21909,0.20989,,,,,,,,,0.38657,0.37841,0.37627,0.39438,,,,
15220s,37.2 °C,,,,,,,,,,,,,,,,,0.71722,0.73592,0.68392,0.74426,,,,,,,,,0.54313,0.526,0.5693,0.62706,,,,,,,,,0.52658,0.30473,0.38084,0.37766,,,,,,,,,0.27663,0.25609,0.27419,0.25501,,,,,,,,,0.17882,0.2082,0.22202,0.20997,,,,,,,,,0.4019,0.38778,0.38889,0.4093,,,,
15543s,37.3 °C,,,,,,,,,,,,,,,,,0.68161,0.80694,0.68958,0.76871,,,,,,,,,0.71301,0.63277,0.61973,0.61702,,,,,,,,,0.50133,0.46069,0.55122,0.43923,,,,,,,,,0.25669,0.25329,0.27647,0.27581,,,,,,,,,0.20197,0.21108,0.22264,0.2245,,,,,,,,,0.41533,0.40363,0.40202,0.42327,,,,
15867s,37.3 °C,,,,,,,,,,,,,,,,,0.69604,0.81541,0.72411,0.76383,,,,,,,,,0.55137,0.64939,0.56163,0.5436,,,,,,,,,0.57148,0.42298,0.38019,0.42899,,,,,,,,,0.25283,0.2268,0.25653,0.28253,,,,,,,,,0.20351,0.22082,0.2222,0.21048,,,,,,,,,0.42974,0.41351,0.4164,0.43638,,,,
16191s,37.2 °C,,,,,,,,,,,,,,,,,0.7452,0.68842,0.70249,0.76914,,,,,,,,,0.72558,0.58724,0.55941,0.54796,,,,,,,,,0.43543,0.40416,0.45726,0.44037,,,,,,,,,0.16686,0.24994,0.27463,0.21308,,,,,,,,,0.16379,0.19577,0.21509,0.17698,,,,,,,,,0.44556,0.42726,0.43152,0.45093,,,,
16515s,37.3 °C,,,,,,,,,,,,,,,,,0.71461,0.71429,0.73944,0.64858,,,,,,,,,0.55596,0.48574,0.65304,0.50537,,,,,,,,,0.48534,0.27793,0.48214,0.39398,,,,,,,,,0.16827,0.22646,0.2741,0.2453,,,,,,,,,0.16976,0.16054,0.23208,0.17399,,,,,,,,,0.4584,0.44032,0.44567,0.4664,,,,
16838s,37.3 °C,,,,,,,,,,,,,,,,,0.70071,0.76097,0.75996,0.73077,,,,,,,,,0.65791,0.46898,0.60428,0.66353,,,,,,,,,0.47267,0.33016,0.3478,0.4981,,,,,,,,,0.24654,0.2295,0.27521,0.25273,,,,,,,,,0.19122,0.21189,0.17769,0.18202,,,,,,,,,0.47489,0.45357,0.46131,0.48174,,,,
17162s,37.3 °C,,,,,,,,,,,,,,,,,0.77862,0.79538,0.7005,0.69738,,,,,,,,,0.6095,0.47112,0.57567,0.5424,,,,,,,,,0.41388,0.42341,0.43231,0.39511,,,,,,,,,0.16734,0.19916,0.22571,0.21424,,,,,,,,,0.16859,0.16787,0.15973,0.19369,,,,,,,,,0.48953,0.46722,0.47607,0.49502,,,,
17486s,37.4 °C,,,,,,,,,,,,,,,,,0.64513,0.8438,0.67561,0.68408,,,,,,,,,0.60203,0.56814,0.62708,0.49366,,,,,,,,,0.57388,0.45886,0.4088,0.49168,,,,,,,,,0.20052,0.19777,0.25907,0.19272,,,,,,,,,0.1816,0.14108,0.20322,0.1768,,,,,,,,,0.5035,0.48116,0.49152,0.51023,,,,
17810s,37.3 °C,,,,,,,,,,,,,,,,,0.84661,0.73994,0.64396,0.7446,,,,,,,,,0.57913,0.6176,0.57442,0.58529,,,,,,,,,0.37431,0.39001,0.38031,0.46732,,,,,,,,,0.14749,0.20084,0.23803,0.20427,,,,,,,,,0.17413,0.16306,0.178,0.17639,,,,,,,,,0.51891,0.49648,0.50502,0.52562,,,,
18133s,37.3 °C,,,,,,,,,,,,,,,,,0.74602,0.79386,0.8339,0.67382,,,,,,,,,0.61139,0.51211,0.60621,0.54873,,,,,,,,,0.43757,0.51064,0.55042,0.43109,,,,,,,,,0.18131,0.14324,0.23853,0.22638,,,,,,,,,0.1826,0.13491,0.15821,0.16579,,,,,,,,,0.53403,0.5115,0.52128,0.54058,,,,
18457s,37.2 °C,,,,,,,,,,,,,,,,,0.84268,0.77804,0.61674,0.61159,,,,,,,,,0.44832,0.57467,0.48912,0.47411,,,,,,,,,0.50871,0.49716,0.52693,0.38363,,,,,,,,,0.18882,0.1848,0.22629,0.1775,,,,,,,,,0.14109,0.15977,0.13638,0.1706,,,,,,,,,0.54864,0.52569,0.53662,0.55646,,,,
18781s,37.3 °C,,,,,,,,,,,,,,,,,0.73403,0.77086,0.7325,0.73041,,,,,,,,,0.45318,0.49324,0.64099,0.57588,,,,,,,,,0.54414,0.3481,0.40106,0.35201,,,,,,,,,0.12902,0.16856,0.25627,0.17918,,,,,,,,,0.14001,0.14546,0.12839,0.15876,,,,,,,,,0.56521,0.53868,0.55209,0.57236,,,,
19104s,37.3 °C,,,,,,,,,,,,,,,,,0.68296,0.72478,0.7985,0.66757,,,,,,,,,0.4734,0.45742,0.53567,0.51487,,,,,,,,,0.52687,0.26266,0.48804,0.45776,,,,,,,,,0.19333,0.18809,0.19709,0.20851,,,,,,,,,0.12682,0.14241,0.13707,0.15124,,,,,,,,,0.57963,0.55497,0.56791,0.58804,,,,
19428s,37.3 °C,,,,,,,,,,,,,,,,,0.63744,0.81242,0.6364,0.6675,,,,,,,,,0.43627,0.51614,0.55727,0.5518,,,,,,,,,0.44063,0.48007,0.48018,0.37673,,,,,,,,,0.15847,0.1503,0.18387,0.12806,,,,,,,,,0.12799,0.1345,0.12442,0.13587,,,,,,,,,0.59331,0.57024,0.5824,0.60697,,,,
19752s,37.3 °C,,,,,,,,,,,,,,,,,0.63068,0.73634,0.74016,0.56692,,,,,,,,,0.49259,0.5564,0.63233,0.59202,,,,,,,,,0.388,0.44461,0.42624,0.48632,,,,,,,,,0.17716,0.21902,0.1783,0.15319,,,,,,,,,0.13016,0.13166,0.16862,0.13194,,,,,,,,,0.60843,0.58471,0.60071,0.62441,,,,
20076s,37.3 °C,,,,,,,,,,,,,,,,,0.67006,0.746,0.7684,0.59799,,,,,,,,,0.57613,0.46542,0.44074,0.44606,,,,,,,,,0.46512,0.3492,0.39399,0.3876,,,,,,,,,0.17176,0.15924,0.20979,0.15929,,,,,,,,,0.13489,0.12838,0.12428,0.13208,,,,,,,,,0.6247,0.60087,0.61952,0.64369,,,,
20399s,37.3 °C,,,,,,,,,,,,,,,,,0.67198,0.63753,0.58719,0.54321,,,,,,,,,0.44751,0.42796,0.57263,0.50602,,,,,,,,,0.52159,0.26329,0.4548,0.37526,,,,,,,,,0.15719,0.14131,0.16649,0.22651,,,,,,,,,0.12584,0.12833,0.15843,0.12984,,,,,,,,,0.63962,0.61461,0.63301,0.66199,,,,
20723s,37.3 °C,,,,,,,,,,,,,,,,,0.63944,0.67101,0.67243,0.62022,,,,,,,,,0.5013,0.48159,0.50799,0.57438,,,,,,,,,0.30201,0.27326,0.40357,0.3742,,,,,,,,,0.14602,0.1374,0.21088,0.14023,,,,,,,,,0.12213,0.12731,0.13341,0.11788,,,,,,,,,0.65466,0.62673,0.64919,0.68017,,,,
